site,year,n
cbh,2014_byte,210
cbh,2016,182
cbh,2017,63
cbh,2018,183
cbh,2019,157
cbh,2019_b,142
cbh,2020,150
cbh,2021,214
rdg,2017_b,2
tlb,2014,73
tlb,2016,76
tlb,2017,64
tlb,2018,80
tlb,2019_a,62
tlb,2019_b,79
tlb,2019_c,84
tlb,2020,86
tlb,2021,90
